날짜,시가,고가,저가,종가,거래량,거래대금,등락률
2021-01-04,4615,4650,4530,4580,344232,1575110755,-0.76
2021-01-05,4640,5240,4635,4935,1406382,6944278490,7.75
2021-01-06,4945,4945,4700,4710,660674,3149639785,-4.56
2021-01-07,4710,4755,4615,4695,202736,949593985,-0.32
2021-01-08,4650,4665,4520,4540,390267,1780102730,-3.3
2021-01-11,4535,4540,4270,4360,441563,1933820445,-3.96
2021-01-12,4310,4450,4270,4385,183639,799014915,0.57
2021-01-13,4345,4570,4345,4540,159186,715041375,3.53
2021-01-14,4540,4560,4475,4560,88420,397490245,0.44
2021-01-15,4545,4650,4485,4510,105350,482110955,-1.1
2021-01-18,4525,4560,4430,4485,77316,346903875,-0.55
2021-01-19,4485,4495,4370,4465,106387,470547685,-0.45
2021-01-20,4460,4600,4435,4510,114901,512219800,1.01
2021-01-21,4210,4280,4005,4175,1468118,6192296955,-7.43
2021-01-22,4190,4245,4160,4210,216835,910274405,0.84
2021-01-25,4210,4235,4165,4195,180458,757272515,-0.36
2021-01-26,4215,4265,4150,4185,184672,771860860,-0.24
2021-01-27,4190,4200,4035,4080,295860,1213894095,-2.51
2021-01-28,4025,4115,3960,4105,168201,681261110,0.61
2021-01-29,4145,4150,3965,4010,151799,613720855,-2.31
2021-02-01,3975,4050,3950,4040,113449,455360890,0.75
2021-02-02,4040,4180,4040,4055,210591,867237520,0.37
2021-02-03,4135,4150,4065,4110,95928,394581450,1.36
2021-02-04,4145,4210,4065,4080,118510,489252385,-0.73
2021-02-05,4095,4140,3840,4060,160052,648310600,-0.49
2021-02-08,4070,4070,3975,3995,80600,322652530,-1.6
2021-02-09,4000,4040,3975,4025,126832,507876065,0.75
2021-02-10,4050,4065,4000,4050,69895,282121585,0.62
2021-02-15,4055,4070,4010,4055,85266,345032885,0.12
2021-02-16,4055,4080,4030,4080,85306,346356415,0.62
2021-02-17,4095,4140,4045,4090,74801,304521635,0.25
2021-02-18,4140,4140,4035,4050,74771,303379240,-0.98
2021-02-19,4060,4060,3910,4020,141564,561327105,-0.74
2021-02-22,4020,4110,4005,4020,105356,426591265,0.0
2021-02-23,4020,4020,3950,3980,50584,201133735,-1.0
2021-02-24,4070,4070,3835,4000,124636,488392285,0.5
2021-02-25,4000,4000,3920,3985,57563,227744685,-0.38
2021-02-26,3890,3930,3835,3885,55792,215881105,-2.51
2021-03-02,3885,3995,3885,3970,48112,190114630,2.19
2021-03-03,4000,4000,3935,3970,14248,56384865,0.0
2021-03-04,3970,3970,3870,3950,43455,170338650,-0.5
2021-03-05,4000,4000,3900,3980,41999,165312760,0.76
2021-03-08,4100,4240,3900,3980,200836,820837065,0.0
2021-03-09,3980,4090,3890,3995,52915,211123090,0.38
2021-03-10,4000,4005,3905,3920,34865,137416430,-1.88
2021-03-11,3930,3985,3905,3970,31360,123494650,1.28
2021-03-12,3975,4030,3975,4000,50407,202192770,0.76
2021-03-15,3970,4115,3970,4070,161088,653839110,1.75
2021-03-16,4120,4220,4060,4175,166648,696696795,2.58
2021-03-17,4190,4350,4170,4275,264377,1125381560,2.4
2021-03-18,4280,4330,4240,4330,96201,412238745,1.29
2021-03-19,4330,4440,4200,4440,142272,622171470,2.54
2021-03-22,4450,4450,4340,4425,91892,404334910,-0.34
2021-03-23,4420,4420,4330,4390,75758,330627770,-0.79
2021-03-24,4385,4385,4265,4375,49193,211976395,-0.34
2021-03-25,4375,4375,4305,4305,51293,221607125,-1.6
2021-03-26,4325,4405,4290,4400,83624,362627010,2.21
2021-03-29,4385,4440,4385,4435,52510,231933550,0.8
2021-03-30,4440,4490,4405,4440,76049,337706935,0.11
2021-03-31,4495,4570,4420,4505,165865,747227030,1.46
2021-04-01,4540,4625,4480,4620,162695,742284000,2.55
2021-04-02,4670,4825,4635,4715,305627,1446349935,2.06
2021-04-05,4800,4800,4670,4780,134583,638594250,1.38
2021-04-06,4795,4945,4765,4925,257183,1249881745,3.03
2021-04-07,4930,5190,4915,5020,422234,2133103540,1.93
2021-04-08,5150,5150,4770,4870,266001,1296111275,-2.99
2021-04-09,4960,5030,4870,4995,140349,698018485,2.57
2021-04-12,5060,5150,4975,5040,146721,740016880,0.9
2021-04-13,5030,5030,4860,4935,131987,650318565,-2.08
2021-04-14,4950,5040,4900,4990,109793,547741460,1.11
2021-04-15,5040,5040,4925,4995,81155,403175465,0.1
2021-04-16,4990,4990,4925,4950,58135,287648320,-0.9
2021-04-19,4950,5130,4950,5050,153108,770105325,2.02
2021-04-20,5060,5070,4995,5040,55799,280159235,-0.2
2021-04-21,5040,5060,4940,5020,59083,293734180,-0.4
2021-04-22,5040,5100,4965,5100,72432,363630725,1.59
2021-04-23,5110,5200,5020,5080,175131,895350030,-0.39
2021-04-26,5080,5180,5000,5060,85584,431023410,-0.39
2021-04-27,5090,5400,5060,5390,423605,2229909350,6.52
2021-04-28,5390,5390,5220,5270,136118,716859780,-2.23
2021-04-29,5270,5370,5120,5340,106495,560968230,1.33
2021-04-30,5290,5560,5270,5560,354540,1944681410,4.12
2021-05-03,5950,5980,5600,5760,381642,2195794180,3.6
2021-05-04,5760,5890,5670,5820,213851,1239246890,1.04
2021-05-06,5800,5950,5780,5890,167782,988786160,1.2
2021-05-07,5930,5940,5790,5910,79943,469860180,0.34
2021-05-10,5910,6240,5910,6140,337801,2055359790,3.89
2021-05-11,6190,6300,6050,6280,204577,1268428710,2.28
2021-05-12,6280,6330,5850,6150,245642,1489898400,-2.07
2021-05-13,5940,6230,5850,6120,223140,1360641060,-0.49
2021-05-14,6130,6440,6130,6260,269264,1707653930,2.29
2021-05-17,6320,6340,5920,6180,295284,1807388330,-1.28
2021-05-18,6090,6220,6070,6190,76393,470346950,0.16
2021-05-20,6150,6160,5760,5820,253202,1492626480,-5.98
2021-05-21,5810,6100,5790,5800,107210,629089210,-0.34
2021-05-24,5800,5800,5600,5610,90016,511035290,-3.28
2021-05-25,5780,5810,5630,5800,80041,458475340,3.39
2021-05-26,5800,5800,5580,5600,102464,578876850,-3.45
2021-05-27,5700,5840,5550,5790,108964,618812870,3.39
2021-05-28,5810,5930,5750,5880,50595,294540560,1.55
2021-05-31,5830,5940,5800,5920,44316,261164570,0.68
2021-06-01,5860,5940,5750,5780,63836,371440050,-2.36
2021-06-02,5840,5840,5750,5800,39320,227479940,0.35
2021-06-03,5800,5800,5650,5720,78440,445898520,-1.38
2021-06-04,5720,5720,5420,5570,198246,1097634360,-2.62
2021-06-07,5650,5660,5370,5420,167712,913795750,-2.69
2021-06-08,5430,5510,5350,5480,94656,513323640,1.11
2021-06-09,5510,5520,5310,5310,133372,718071830,-3.1
2021-06-10,5410,5470,5320,5350,270969,1455922900,0.75
2021-06-11,5360,6220,5350,5800,615432,3559697820,8.41
