날짜,시가,고가,저가,종가,거래량,거래대금,등락률
2021-01-04,134000,134000,132000,132000,47745,6345111000,-2.58
2021-01-05,132000,135000,131500,134500,45974,6110366500,1.89
2021-01-06,134500,136000,132500,134000,51001,6825189000,-0.37
2021-01-07,135500,139000,133500,136500,79835,10955227500,1.87
2021-01-08,138000,142500,136500,141000,105333,14729451000,3.3
2021-01-11,141000,141500,134500,135500,69442,9509553000,-3.9
2021-01-12,137000,141500,134000,140500,89517,12423156500,3.69
2021-01-13,140000,148500,140000,147500,135734,19692976000,4.98
2021-01-14,146000,152500,146000,151500,109615,16491734750,2.71
2021-01-15,151500,152000,144500,145000,75654,11072719500,-4.29
2021-01-18,143000,144000,140500,140500,37172,5284335500,-3.1
2021-01-19,140500,147500,140000,145000,41581,6025674000,3.2
2021-01-20,145000,147000,144000,147000,50662,7384147000,1.38
2021-01-21,147500,162000,147500,156000,143118,22098918500,6.12
2021-01-22,156500,156500,151500,152000,62510,9555364000,-2.56
2021-01-25,152000,160500,151500,155500,82986,13018465500,2.3
2021-01-26,155000,161500,153500,160500,124596,19769608000,3.22
2021-01-27,161000,163000,157500,158000,65876,10540252750,-1.56
2021-01-28,153000,167500,153000,165000,91596,14839025500,4.43
2021-01-29,165000,181000,162000,170000,200940,34730442896,3.03
2021-02-01,168000,169000,163000,164000,64398,10613558250,-3.53
2021-02-02,163000,165000,160500,161500,62919,10221246500,-1.52
2021-02-03,161000,165000,160000,164500,42538,6947141000,1.86
2021-02-04,162500,164000,160000,161500,32933,5318455500,-1.82
2021-02-05,162000,164000,160500,162500,25699,4179707000,0.62
2021-02-08,162500,166000,160500,163000,43729,7147640000,0.31
2021-02-09,163500,166000,162000,165000,36145,5953679500,1.23
2021-02-10,166000,171500,164000,170500,41374,6942420500,3.33
2021-02-15,172000,177500,169500,177500,182653,32082174500,4.11
2021-02-16,174000,177500,171000,174500,39060,6847044000,-1.69
2021-02-17,171000,173500,165000,166500,43092,7202474000,-4.58
2021-02-18,166500,169000,165000,165500,25662,4281720000,-0.6
2021-02-19,162000,166500,159500,163000,36630,5951655500,-1.51
2021-02-22,163000,167000,162500,167000,21445,3555631000,2.45
2021-02-23,165500,166500,161000,166500,27910,4591761500,-0.3
2021-02-24,165500,166500,158500,159500,45652,7448619000,-4.2
2021-02-25,159000,163500,158500,162000,37059,5984559000,1.57
2021-02-26,159000,161000,155000,159000,53045,8377787000,-1.85
2021-03-02,159500,163000,155500,159000,33430,5322580500,0.0
2021-03-03,159000,171000,157500,169500,59126,9827433000,6.6
2021-03-04,164000,169000,163000,166000,35476,5870367500,-2.06
2021-03-05,166000,168000,161500,168000,37860,6201295500,1.2
2021-03-08,166500,171000,165000,167000,25929,4345397500,-0.6
2021-03-09,169500,179500,167500,173500,102861,17970847500,3.89
2021-03-10,175500,176000,166000,171000,40579,6922111000,-1.44
2021-03-11,169000,175000,166000,173000,74846,12876020000,1.17
2021-03-12,171000,177000,170500,172500,43409,7568736500,-0.29
2021-03-15,172000,179000,172000,174500,43402,7618968000,1.16
2021-03-16,174500,177500,172000,172000,27465,4780310500,-1.43
2021-03-17,172500,173500,168500,169500,29953,5084943000,-1.45
2021-03-18,171000,177000,168500,174000,46118,8029031500,2.65
2021-03-19,172000,172000,168500,169000,53861,9153034500,-2.87
2021-03-22,169000,169500,165500,166000,36678,6116938000,-1.78
2021-03-23,166500,167500,160500,161500,41027,6683113000,-2.71
2021-03-24,160000,163500,158500,162500,33230,5381180000,0.62
2021-03-25,162500,165000,161000,162500,49839,8139175420,0.0
2021-03-26,164000,166500,162500,163500,28074,4637661500,0.62
2021-03-29,163500,164000,159500,160500,31881,5125344000,-1.83
2021-03-30,160500,162000,159000,159000,41622,6660763500,-0.93
2021-03-31,159500,163500,156500,158000,51465,8146049000,-0.63
2021-04-01,158500,162500,157500,162500,33313,5353653000,2.85
2021-04-02,163000,163500,159000,159500,33832,5426725500,-1.85
2021-04-05,159000,160500,158500,159000,15080,2397434500,-0.31
2021-04-06,159000,161500,159000,160500,20183,3241208000,0.94
2021-04-07,160000,162500,160000,161000,20269,3266925000,0.31
2021-04-08,162000,163000,158500,159000,41561,6673899250,-1.24
2021-04-09,159500,166500,159500,162000,37197,6090139000,1.89
2021-04-12,162000,164000,161500,163500,14371,2335926500,0.93
